127.0.0.1 - - [19/Jun/2020:09:37:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:37:14 +0900] "GET /ClientTest/Ex08_hr.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:37:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:37:19 +0900] "GET /ClientTest/Ex08_hr.html HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:41:47 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:42:50 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:43:51 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:45:12 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:45:48 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:46:09 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:47:07 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:11:15 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:12:29 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:14:42 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:15:41 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:16:13 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:16:56 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:17:04 +0900] "GET /ClientTest/Ex09_style.html HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:19:46 +0900] "GET /ClientTest/Ex10_list.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:22:22 +0900] "GET /ClientTest/Ex10_list.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:22:41 +0900] "GET /ClientTest/Ex10_list.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:22:48 +0900] "GET /ClientTest/Ex10_list.html HTTP/1.1" 304 -
