127.0.0.1 - - [22/Jun/2020:12:06:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:06:31 +0900] "GET /ClientTest/Ex18_form.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:06:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:06:42 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:06:51 +0900] "GET /ClientTest/Ex18_form.jsp?id=hello&pw=world HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:11:31 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:11:38 +0900] "GET /ClientTest/Ex18_form.jsp?id=hello&pw=world HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:11:51 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:12:43 +0900] "GET /ClientTest/Ex18_form.jsp?id=hello&pw=world HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:12:46 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:12:47 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:12:47 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:12:47 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:12:56 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:12:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:13:06 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:13:07 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:13:12 +0900] "POST /ClientTest/Ex18_form.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:14:51 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:14:52 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:14:56 +0900] "GET /ClientTest/Ex18_form.jsp?id=hello&pw=world HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:33:47 +0900] "GET /ClientTest/Ex18_form.html HTTP/1.1" 200 3357
